id,createdAt,updatedAt,handle,name,slug,city,abbreviation,logo,wins,losses,winPercentage,conference,division,established,primaryColor,secondaryColor,logoSlug
30,2020-11-03 19:18:10.935,2020-11-03 19:18:10.935,1610612764,Wizards,wizards,Washington,WAS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/washington-wizards-logo.png,25,47,0.347,East,Southeast,1961,# 002B5C,#E31837,washington-wizards-logo
29,2020-11-03 19:18:09.482,2020-11-03 19:18:09.483,1610612762,Jazz,jazz,Utah,UTA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/utah-jazz-logo.png,44,28,0.611,West,Northwest,1974,#002B5C,#F9A01B,utah-jazz-logo
24,2020-11-03 19:18:00.913,2020-11-03 19:18:00.913,1610612756,Suns,suns,Phoenix,PHX,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/phoenix-suns-logo.png,34,39,0.466,West,Pacific,1968,#1D1160,#E56020,phoenix-suns-logo
27,2020-11-03 19:18:06.306,2020-11-03 19:18:06.307,1610612759,Spurs,spurs,San Antonio,SAS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/san-antonio-spurs-logo.png,32,39,0.451,West,Southwest,1976,#C4CED4,#000000,san-antonio-spurs-logo
16,2020-11-03 19:17:43.929,2020-11-03 19:17:43.93,1610612748,Heat,heat,Miami,MIA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/miami-heat-logo.png,44,29,0.603,East,Southeast,1988,#98002E,#000000,miami-heat-logo
26,2020-11-03 19:18:04.693,2020-11-03 19:18:04.693,1610612758,Kings,kings,Sacramento,SAC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/sacramento-kings-logo.png,31,41,0.431,West,Pacific,1948,#5A2D81,#63727A,sacramento-kings-logo
15,2020-11-03 19:17:42.511,2020-11-03 19:17:42.512,1610612763,Grizzlies,grizzlies,Memphis,MEM,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/memphis-grizzlies-logo.png,34,39,0.466,West,Southwest,1995,#5D76A9,#12173F,memphis-grizzlies-logo
21,2020-11-03 19:17:55.754,2020-11-03 19:17:55.755,1610612760,Thunder,thunder,Oklahoma City,OKC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/oklahoma-city-thunder-logo.png,44,28,0.611,West,Northwest,1967,#007AC1,#EF3B24,oklahoma-city-thunder-logo
7,2020-11-03 19:17:26.866,2020-11-03 19:17:26.867,1610612742,Mavericks,mavericks,Dallas,DAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/dallas-mavericks-logo.png,43,32,0.573,West,Southwest,1980,#00538C,#B8C4CA,dallas-mavericks-logo
20,2020-11-03 19:17:53.761,2020-11-03 19:17:53.761,1610612752,Knicks,knicks,New York,NYK,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/new-york-knicks-logo.png,21,45,0.318,East,Atlantic,1946,#006BB6,#F58426,new-york-knicks-logo
13,2020-11-03 19:17:38.262,2020-11-03 19:17:38.262,1610612746,Clippers,clippers,Los Angeles,LAC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/los-angeles-clippers-logo.png,49,23,0.681,West,Pacific,1970,#C8102E,#1D428A,los-angeles-clippers-logo
19,2020-11-03 19:17:51.797,2020-11-03 19:17:51.798,1610612740,Pelicans,pelicans,New Orleans,NOP,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/new-orleans-pelicans-logo.png,30,42,0.417,West,Southwest,2002,#0C2340,#C8102E,new-orleans-pelicans-logo
8,2020-11-03 19:17:28.724,2020-11-03 19:17:28.724,1610612743,Nuggets,nuggets,Denver,DEN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/denver-nuggets-logo.png,46,27,0.63,West,Northwest,1976,#0E2240,#FEC524,denver-nuggets-logo
12,2020-11-03 19:17:36.466,2020-11-03 19:17:36.466,1610612754,Pacers,pacers,Indiana,IND,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/indiana-pacers-logo.png,45,28,0.616,East,Central,1976,#002D62,#FDBB30,indiana-pacers-logo
4,2020-11-03 19:17:19.596,2020-11-03 19:17:19.597,1610612766,Hornets,hornets,Charlotte,CHA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/charlotte-hornets-logo.png,23,42,0.354,East,Southeast,1988,#1D1160,#00788C,charlotte-hornets-logo
9,2020-11-03 19:17:30.578,2020-11-03 19:17:30.579,1610612765,Pistons,pistons,Detroit,DET,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/detroit-pistons-logo.png,20,46,0.303,East,Central,1948,#C8102E,#1D42BA,detroit-pistons-logo
10,2020-11-03 19:17:32.679,2020-11-03 19:17:32.68,1610612744,Warriors,warriors,Golden State,GSW,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/golden-state-warriors-logo.png,15,50,0.231,West,Pacific,1946,#1D428A,#FFC72C,golden-state-warriors-logo
5,2020-11-03 19:17:21.802,2020-11-03 19:17:21.803,1610612741,Bulls,bulls,Chicago,CHI,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/chicago-bulls-logo.png,22,43,0.338,East,Central,1966,#CE1141,#000000,chicago-bulls-logo
1,2020-11-03 19:17:13.431,2020-11-03 19:17:13.431,1610612737,Hawks,hawks,Atlanta,ATL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/atlanta-hawks-logo.png,20,47,0.299,East,Southeast,1949,#E03A3E,#C1D32F,atlanta-hawks-logo
3,2020-11-03 19:17:17.435,2020-11-03 19:17:17.435,1610612751,Nets,nets,Brooklyn,BKN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/brooklyn-nets-logo.png,35,37,0.486,East,Atlantic,1976,#000000,#FFFFFF,brooklyn-nets-logo
18,2020-11-03 19:17:49.664,2020-11-03 19:17:49.665,1610612750,Timberwolves,timberwolves,Minnesota,MIN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/minnesota-timberwolves-logo.png,19,45,0.297,West,Northwest,1989,#0C2340,#236192,minnesota-timberwolves-logo
6,2020-11-03 19:17:25.179,2020-11-03 19:17:25.18,1610612739,Cavaliers,cavaliers,Cleveland,CLE,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/cleveland-cavaliers-logo.png,19,46,0.292,East,Central,1970,#860038,#041E42,cleveland-cavaliers-logo
2,2020-11-03 19:17:15.319,2020-11-03 19:17:15.32,1610612738,Celtics,celtics,Boston,BOS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/boston-celtics-logo.png,48,24,0.667,East,Atlantic,1946,#007A33,#BA9653,boston-celtics-logo
25,2020-11-03 19:18:03.113,2020-11-03 19:18:03.114,1610612757,Trail Blazers,blazers,Portland,POR,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/portland-trail-blazers-logo.png,35,39,0.473,West,Northwest,1970,#E03A3E,#000000,portland-trail-blazers-logo
17,2020-11-03 19:17:45.363,2020-11-03 19:17:45.364,1610612749,Bucks,bucks,Milwaukee,MIL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/milwaukee-bucks-logo.png,56,17,0.767,East,Central,1968,#00471B,#EEE1C6,milwaukee-bucks-logo
14,2020-11-03 19:17:40.362,2020-11-03 19:17:40.362,1610612747,Lakers,lakers,Los Angeles,LAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/los-angeles-lakers-logo.png,52,19,0.732,West,Pacific,1948,#552583,#FDB927,los-angeles-lakers-logo
22,2020-11-03 19:17:57.257,2020-11-03 19:17:57.258,1610612753,Magic,magic,Orlando,ORL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/orlando-magic-logo.png,33,40,0.452,East,Southeast,1989,#0077C0,#C4CED4,orlando-magic-logo
11,2020-11-03 19:17:34.739,2020-11-03 19:17:34.739,1610612745,Rockets,rockets,Houston,HOU,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/houston-rockets-logo.png,44,28,0.611,West,Southwest,1967,#CE1141,#000000,houston-rockets-logo
28,2020-11-03 19:18:07.8,2020-11-03 19:18:07.801,1610612761,Raptors,raptors,Toronto,TOR,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526604/nba-logos/toronto-raptors-logo.png,53,19,0.736,East,Atlantic,1995,#CE1141,#000000,toronto-raptors-logo
23,2020-11-03 19:17:59.664,2020-11-03 19:17:59.665,1610612755,76ers,sixers,Philadelphia,PHI,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/philadelphia-76ers-logo.png,43,30,0.589,East,Atlantic,1949,#006BB6,#D50032,philadelphia-76ers-logo
